p_0,p_1,x_bar_0,x_bar_1,error
0.1,0.1,0.1,0.1,0.04532741995417956
0.1,0.1,0.1,0.5,0.013791374565777264
0.1,0.1,0.1,0.9,1.0348277275054112
0.1,0.1,0.5,0.1,1.0086148428503896
0.1,0.1,0.5,0.5,0.4103300456564222
0.1,0.1,0.5,0.9,1.2139989759163758
0.1,0.1,0.9,0.1,1.1251488781454535
0.1,0.1,0.9,0.5,0.04943919016706916
0.1,0.1,0.9,0.9,4.062792200808354
0.1,0.5,0.1,0.1,0.0016639692448271394
0.1,0.5,0.1,0.5,0.20967497472310534
0.1,0.5,0.1,0.9,0.12690646885711077
0.1,0.5,0.5,0.1,0.06792862470368412
0.1,0.5,0.5,0.5,0.1968090153925807
0.1,0.5,0.5,0.9,2.623213239149463
0.1,0.5,0.9,0.1,0.36232212264824953
0.1,0.5,0.9,0.5,0.191182824962392
0.1,0.5,0.9,0.9,0.1756705510178519
0.1,0.9,0.1,0.1,0.0027243949023214534
0.1,0.9,0.1,0.5,0.1000731807820119
0.1,0.9,0.1,0.9,0.5604958322703596
0.1,0.9,0.5,0.1,0.020290108381333487
0.1,0.9,0.5,0.5,0.571856814319903
0.1,0.9,0.5,0.9,0.25649936496001685
0.1,0.9,0.9,0.1,0.037811532819602825
0.1,0.9,0.9,0.5,0.006326014912515204
0.1,0.9,0.9,0.9,0.07116935678456474
0.5,0.1,0.1,0.1,0.29891893524525837
0.5,0.1,0.1,0.5,0.0038821768232949433
0.5,0.1,0.1,0.9,0.009005545803518124
0.5,0.1,0.5,0.1,0.2737299477650021
0.5,0.1,0.5,0.5,0.6841165340140771
0.5,0.1,0.5,0.9,0.09549482214467499
0.5,0.1,0.9,0.1,1.229623513439298
0.5,0.1,0.9,0.5,0.41452782515999853
0.5,0.1,0.9,0.9,0.20802436330845553
0.5,0.5,0.1,0.1,0.12932553276795702
0.5,0.5,0.1,0.5,0.20532627063214245
0.5,0.5,0.1,0.9,0.8532479253493284
0.5,0.5,0.5,0.1,0.7493236099579833
0.5,0.5,0.5,0.5,0.08353235236914333
0.5,0.5,0.5,0.9,0.539740168295809
0.5,0.5,0.9,0.1,1.133192341667126
0.5,0.5,0.9,0.5,0.2756231233088827
0.5,0.5,0.9,0.9,0.10458064114170347
0.5,0.9,0.1,0.1,1.5550604907888081
0.5,0.9,0.1,0.5,8.036021300732983e-05
0.5,0.9,0.1,0.9,0.03175819739574984
0.5,0.9,0.5,0.1,0.10356705444038532
0.5,0.9,0.5,0.5,0.12088319583955973
0.5,0.9,0.5,0.9,0.09164670836662031
0.5,0.9,0.9,0.1,0.21446044772946057
0.5,0.9,0.9,0.5,0.06491809557574119
0.5,0.9,0.9,0.9,0.01245344613900365
0.9,0.1,0.1,0.1,0.05373426561570018
0.9,0.1,0.1,0.5,0.053097194100791854
0.9,0.1,0.1,0.9,0.047495408956005396
0.9,0.1,0.5,0.1,0.43677263605389355
0.9,0.1,0.5,0.5,0.1004483167459048
0.9,0.1,0.5,0.9,0.8865028266989404
0.9,0.1,0.9,0.1,0.005627909190996414
0.9,0.1,0.9,0.5,0.567348840419368
0.9,0.1,0.9,0.9,0.0941340250851066
0.9,0.5,0.1,0.1,0.199130130426645
0.9,0.5,0.1,0.5,0.5432637181113993
0.9,0.5,0.1,0.9,1.285872511387181
0.9,0.5,0.5,0.1,0.4229856623609455
0.9,0.5,0.5,0.5,0.020201898701666186
0.9,0.5,0.5,0.9,0.11651520249211025
0.9,0.5,0.9,0.1,0.03040301598236589
0.9,0.5,0.9,0.5,0.11908097870930223
0.9,0.5,0.9,0.9,0.11690878916361445
0.9,0.9,0.1,0.1,1.7872215206064175
0.9,0.9,0.1,0.5,0.02460986175827959
0.9,0.9,0.1,0.9,0.15806261408364866
0.9,0.9,0.5,0.1,1.7714731219919904
0.9,0.9,0.5,0.5,0.22427164182675452
0.9,0.9,0.5,0.9,0.021718071392650157
0.9,0.9,0.9,0.1,0.08294142967301488
0.9,0.9,0.9,0.5,1.2377096268281518
0.9,0.9,0.9,0.9,0.0028996757677569322
